Тема,Количество
-Не работает почта ЕПС(Единая почтовая система(str.mos.ru),5.0
"-Отремонтировать, настроить МФУ(многофункциональное устройство).Устранить замятие, проверить подключение МФУ, плоттер или сканер",9.0
"-Не работает компьютер(Не включается системный блок, монитор, клавиатура, мышь или принтер)",12.0
"-Создание внутренней учетной записи(Для нового сотрудника), создать ящик(запросить создание почтового ящика, общего почтового ящика и др), разблокировать учетную запись",16.0
-Разблокировать доступ в Автоматизированную Систему МГГТ(Разблокировать Доступ к базе),3.0
"-Получить, восстановить доступ в МОСЭДО(Московский электронный документооборот)",47.0
-Восстановить пароль в СДО(Система документооборота),4.0
"-Доступ к ИС(информационной системе).Доступ к БД Oracle(Базе данных Oracle), в АС Договор, АС Архив, АС Кадры и так далее. АС(Автоматизированная система)",33.0
"-Доступ к отчетам(Discover, Power BI, Oracle и другое)",0.0
-Доступ к файловым ресурсам(Например к папке на диске X),3.0
-Доступ в СДО(Система документооборота),11.0
-Чтение/запись CD/DVD Дисков,0.0
-Настроить почту на мобильном(настроить почту на смартфоне),0.0
-Доступ в Интернет,2.0
-Доступ к disk.mggt.ru,1.0
-Доступ в VDI(виртуальный рабочий стол),3.0
-Удаленный доступ,6.0
-Доступ в Комнату хранения(Добавить или исключить из списка),0.0
-Доступ в помещение(Добавить или исключить из списка),0.0
-Сообщить об инциденте(Незапланированное прерывание ИТ-услуги или снижение качества ИТ-услуги),0.0
"-Запрос на обслуживание(Запрос пользователя на информацию, консультацию, на стандартное изменение или доступ к ИТ-услуге)",1.0
-Запрос на оборудование,7.0
"-Не работает пропуск(Продлить, заказать пропуск и так далее)",0.0
"-Проблема с почтой(Переполнен ящик, не отправляются или не приходят письма)",13.0
-Подать данные полевых бригад,0.0
-Запрос на тестирование,2.0
"-Вопрос по работе:Генплан, Техпаспорт и так далее",0.0
-Загрузка в АСУ ОДС(Автоматизированная система объединенной диспетчерской службы),0.0
-САПР МГГТ(Система автоматизированного проектирования),0.0
-Проблема с модулем согласования,0.0
-Другие запросы,81.0
"-Проблемы с АС Договор(архив, кадры документ или базой данных)",14.0
-Заменить картридж(Заменим расходные материалы),8.0
-Установка Программного обеспечения(Установить программное обеспечение),19.0
-Сдать оборудование(Заберём оборудование на склад),0.0
-Настроить электронную подпись(Поможем установить сертификат ЭП),13.0
"-Переместить или настроить рабочее место или оборудование(Переместить Автоматизированное рабочее место или оборудование, настроить для нового сотрудника)",34.0
-Не работает телефон(Не включается или не получается дозвониться),3.0
